time,level,latitude,longitude,depth,location
2019-04-12 22:51:32,5.8,-6.43,148.57,20,新不列颠岛地区
2019-04-12 20:23:04,5.7,-15.41,-172.73,10,萨摩亚群岛地区
2019-04-12 19:40:49,6.8,-1.91,122.62,10,印尼苏拉威西岛附近海域
2019-04-12 17:27:49,3.7,30.33,87.66,8,西藏日喀则市谢通门县
2019-04-11 16:18:23,6,40.35,143.4,10,日本本州东岸远海
2019-04-10 06:57:52,4,24.21,121.94,23,台湾花莲县海域
2019-04-10 04:24:13,4.3,23.93,121.65,10,台湾花莲县海域
2019-04-10 03:51:51,3.2,28.07,103.55,8,云南昭通市永善县
2019-04-10 01:53:59,6.4,-58.60,-25.33,30,南桑威奇群岛地区
2019-04-09 23:13:22,5,23.96,121.61,10,台湾花莲县海域
2019-04-09 01:13:10,3.3,33.27,96.12,10,青海玉树州玉树市
2019-04-08 16:27:44,3.1,22.63,100.35,9,云南普洱市澜沧县
2019-04-08 14:58:10,4.4,22.05,121.49,11,台湾台东县海域
2019-04-08 12:12:40,5.2,26.3,129.5,20,琉球群岛
2019-04-07 13:25:13,2.9,40.08,116.23,17,北京海淀区
2019-04-07 05:55:00,6.1,-6.90,125.07,540,班达海
2019-04-06 12:02:34,3.9,39,74.49,6,新疆克孜勒苏州阿克陶县
2019-04-06 11:33:34,2.8,31.55,119.11,11,江苏南京市溧水区
2019-04-06 00:14:18,6.3,-55.95,-27.85,60,南桑威奇群岛地区
2019-04-05 17:56:52,6,30.45,138.7,390,日本本州东南海域
2019-04-05 13:49:58,2.8,38.17,99.84,8,青海海北州祁连县
2019-04-04 09:56:55,5.1,22.99,120.85,10,台湾台东县
2019-04-03 09:52:56,5.7,22.95,120.87,12,台湾台东县
2019-04-03 05:35:33,6.4,52.25,178,20,拉特群岛
2019-04-02 10:58:37,3,42.02,83.14,18,新疆阿克苏地区库车县
2019-04-02 07:05:51,3.6,33.34,96.16,10,青海玉树州玉树市
2019-04-02 02:39:07,5.5,-18.10,65.35,10,毛里求斯远海海域
2019-04-01 11:11:06,3.4,31.97,101.8,18,四川阿坝州马尔康市
2019-04-01 10:54:36,4.3,24.95,122.22,100,台湾新北市海域
2019-04-01 10:16:52,5.3,10.67,125.94,50,菲律宾群岛地区
2019-03-31 23:27:56,5.4,-9.75,-79.23,20,秘鲁沿岸远海
2019-03-31 18:36:34,3.2,43.2,87.26,16,新疆乌鲁木齐市乌鲁木齐县
2019-03-31 15:04:03,6.1,-2.00,-80.92,20,厄瓜多尔沿岸近海
2019-03-31 04:08:37,3.1,28.93,105.42,10,四川泸州市龙马潭区
2019-03-30 19:20:43,6.1,-5.65,151.05,60,新不列颠岛地区
2019-03-30 14:27:23,5.9,-9.67,66.47,10,中印度洋海岭
2019-03-29 14:03:20,3,22.85,101.83,5,云南红河州绿春县
2019-03-29 07:11:01,3.6,28.66,87.1,5,西藏日喀则市定日县
2019-03-29 06:06:49,6.1,50.52,159.93,10,千岛群岛
2019-03-28 23:05:32,5.4,-24.57,-70.07,50,智利
2019-03-28 12:41:36,3.1,38.32,90.86,9,青海海西州茫崖市
2019-03-28 07:00:20,4.2,38.32,90.92,9,青海海西州茫崖市
2019-03-28 06:57:09,3.8,38.31,90.84,9,青海海西州茫崖市
2019-03-28 05:36:31,5,38.28,90.89,9,青海海西州茫崖市
2019-03-27 14:38:04,5.3,32.21,132.3,30,日本九州岛东部附近海域
2019-03-27 09:18:59,3.1,41.28,83.83,8,新疆阿克苏地区库车县
2019-03-27 08:33:41,2.7,23.68,117.1,10,福建漳州市诏安县
2019-03-27 08:11:28,5.2,32.13,132.05,50,日本九州岛附近海域
2019-03-27 05:54:06,5.5,-21.35,-173.42,10,汤加群岛
2019-03-27 05:27:20,5.1,66.31,-157.11,10,美国阿拉斯加
2019-03-26 20:01:49,5.5,12.55,-89.23,30,萨尔瓦多沿岸远海
2019-03-24 23:17:13,2.8,31.09,110.1,10,重庆巫山县(有感)
2019-03-24 12:37:31,6.1,1.7,126.45,30,印尼马鲁古海
2019-03-24 09:32:02,5.4,-1.80,120.6,20,印尼苏拉威西岛
2019-03-24 03:21:11,6,4.6,-76.10,100,哥伦比亚
2019-03-23 21:53:25,3.8,33.34,96.24,9,青海玉树州玉树市
2019-03-21 14:48:44,2.2,34.33,119.73,0,江苏连云港市灌南县(疑爆)
2019-03-20 23:23:58,6.2,-15.57,167.6,130,瓦努阿图群岛
2019-03-20 14:34:30,5.7,37.5,29.39,20,土耳其
2019-03-19 14:42:48,3,43.74,112.84,20,内蒙古锡林郭勒盟苏尼特左旗
2019-03-19 12:01:34,3.6,24.8,121.89,77,台湾宜兰县海域
2019-03-17 15:07:27,5.5,-8.47,116.54,20,印尼松巴哇岛
2019-03-17 11:46:24,3,28.2,104.84,8,四川宜宾市珙县
2019-03-17 04:25:47,4,41.19,83.71,10,新疆阿克苏地区库车县
2019-03-16 17:58:23,5.2,13.88,120.9,110,菲律宾
2019-03-16 07:07:57,5.6,6.25,125.35,70,菲律宾棉兰老岛
2019-03-15 18:40:51,4,38.72,91.12,11,新疆巴音郭楞州若羌县
2019-03-15 13:03:49,6.2,-17.85,-65.92,350,玻利维亚
2019-03-15 02:14:24,4.2,38.78,91.1,7,新疆巴音郭楞州若羌县
2019-03-14 17:21:48,3,41.92,84.35,10,新疆巴音郭楞州轮台县
